Course Name,Role,Last Name,First Name,Affiliation,Location,Position at Affiliation,Notes,,
Frontiers in Reproduction,Faculty,Cherry,Jonathan,,,,,,
Frontiers in Reproduction,Faculty,Cohen,Paula,Cornell University,,,,,
Frontiers in Reproduction,Faculty,Cooke,Paul,University of Illinois,,,,,
Frontiers in Reproduction,Faculty,DeMayo,Francesco,Baylor College of Medicine,,,,,
Frontiers in Reproduction,Faculty,Dobrinski,Ina,University of Calgary,,,,,
Frontiers in Reproduction,Faculty,Dominko,Tanja,Worcester Polytechnic Institute,,,,,
Frontiers in Reproduction,Faculty,Fazleabas,Asgi,Michigan State University,,,,,
Frontiers in Reproduction,Faculty,Fissore,Rafael,University of Massachusetts,,,,,
Frontiers in Reproduction,Faculty,Handel,Mary Ann,The Jackson Laboratory,,,,,
Frontiers in Reproduction,Faculty,Hinton,Barry,University of Virginia,,,,,
Frontiers in Reproduction,Faculty,Jaffe,Laurinda,University of Connecticut Health Center,,,,,
Frontiers in Reproduction,Faculty,Johnson,Greg,Texas A&M University,,,,,
Frontiers in Reproduction,Faculty,Keri,Ruth,Case Western Reserve University,,,,,
Frontiers in Reproduction,Faculty,Lange,Carol,University of Minnesota,,,,,
Frontiers in Reproduction,Faculty,Matzuk,Martin,Baylor College of Medicine,,,,,
Frontiers in Reproduction,Faculty,McClure,Michael,Environmental Protection Agency,,,,,
Frontiers in Reproduction,Faculty,Overstrom,Eric,Worcester Polytechnic Institute,,,,,
Frontiers in Reproduction,Faculty,Page,Ray,Worcester Polytechnic Institute,,,,,
Frontiers in Reproduction,Faculty,Petroff,Margaret,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Faculty,Rando,Oliver,University of Massachusetts Medical School,,,,,
Frontiers in Reproduction,Faculty,Redmer,Dale,North Dakota State University,,,,,
Frontiers in Reproduction,Faculty,Reijo Pera,Renee,Stanford University,,,,,
Frontiers in Reproduction,Faculty,Reynolds,Lawrence,North Dakota State University,,,,,
Frontiers in Reproduction,Faculty,Schatten,Gerald,Pittsburgh Development Center,,,,,
Frontiers in Reproduction,Faculty,Schultz,Richard,University of Pennsylvania,,,,,
Frontiers in Reproduction,Faculty,Spencer,Thomas,Texas A&M University,,,,,
Frontiers in Reproduction,Faculty,Stein,Paula,University of Pennsylvania,,,,,
Frontiers in Reproduction,Faculty,Sutton,Keith,University of Massachusetts Medical School,,,,,
Frontiers in Reproduction,Faculty,Vacquier,Victor,"University of California, San Diego",,,,,
Frontiers in Reproduction,Faculty,Yao,Humphrey,University of Illinois,,,,,
Frontiers in Reproduction,Lecturer,Conti,Marco,"University of California, San Francisco",,,,,
Frontiers in Reproduction,Lecturer,Guillette,Louis,University of Florida,,,,,
Frontiers in Reproduction,Lecturer,Hammes,Stephen,University of Rochester Medical Center,,,,,
Frontiers in Reproduction,Lecturer,Kaiser,Ursula,Brigham and Women's Hospital,,,,,
Frontiers in Reproduction,Lecturer,Korach,Kenneth,NIH/ National Institute of Environmental Health Sciences,,,,,
Frontiers in Reproduction,Lecturer,Levine,Jon,Northwestern University,,,,,
Frontiers in Reproduction,Lecturer,Reddi,Prabhakara,University of Virginia,,,,,
Frontiers in Reproduction,Lecturer,Seminara,Stephanie,Massachusetts General Hospital,,,,,
Frontiers in Reproduction,Lecturer,Tevosian,Sergei,Dartmouth College,,,,,
Frontiers in Reproduction,Teaching Assistant,Afshar,Yalda,University of Illinois at Chicago,,,,,
Frontiers in Reproduction,Teaching Assistant,Agbor,Valentine,University of Kansas Medical Center,,,,,
Frontiers in Reproduction,Teaching Assistant,Andric,Nebojsa,The University of Iowa,,,,,
Frontiers in Reproduction,Teaching Assistant,Barrett,Susan,Northwestern University,,,,,
Frontiers in Reproduction,Teaching Assistant,Borowicz,Pawel,North Dakota State University,,,,,
Frontiers in Reproduction,Teaching Assistant,Brown,Sara,,,,,,
Frontiers in Reproduction,Teaching Assistant,Carroll,David,Florida Institute of Technology,,,,,
