Institution,Institution URI
Zeneca Pharmaceuticals,http://history.archives.mbl.edu/concepts/institution/09e54fa8-adb5-4664-9159-41d14e5cb678
Zymogenetics,http://history.archives.mbl.edu/concepts/institution/c4cbd6a4-bd29-41ef-8cbe-a5da6de23600
Foundation For Microbiology,http://history.archives.mbl.edu/concepts/institution/70d45970-fd92-4b3b-8d68-e73436852ff7
National Multiple Sclerosis Society,http://history.archives.mbl.edu/concepts/institution/a08edcc8-dab6-47e7-80b6-6b989a19d466
University Of Sherbrooke,http://history.archives.mbl.edu/concepts/institution/d8e2eb75-0be7-4df3-ba0f-856a43c76ea3
Catawba Valley Medical Center,http://history.archives.mbl.edu/concepts/institution/318738f1-776c-42e2-917d-7f78a5b26530
University Medical College,http://history.archives.mbl.edu/concepts/institution/736ee2c9-ef5f-40ef-9bda-15c96a6dab0b
University Of Wollongong,http://history.archives.mbl.edu/concepts/institution/4e1c24eb-7048-4347-b56f-05ac10648531
Aaron Diamond Aids Research Center,http://history.archives.mbl.edu/concepts/institution/2bb45b2e-220b-49ac-ae5f-98f4e73fd83c
Cnrs Umr 7000,http://history.archives.mbl.edu/concepts/institution/dbb77fc1-a5f9-49f8-b1b8-7c21d0bd0370
West Baden College,http://history.archives.mbl.edu/concepts/institution/69b50159-8bd1-44cd-a918-64addb5f70f6
University Of Jerusalem,http://history.archives.mbl.edu/concepts/institution/2bb453c0-4a70-45ee-a71a-78f21d6f749e
Systematics Ecology Program Marine Biology Laboratory,http://history.archives.mbl.edu/concepts/institution/137c7dfa-10ed-47c8-87db-e8a57ff4d615
Department Of Zoology Columbia University,http://history.archives.mbl.edu/concepts/institution/41220f39-7b81-4f11-a03e-08e896b0e0d3
University Of Heidelberg Columbia University,http://history.archives.mbl.edu/concepts/institution/ae19c410-1d9c-404d-ab74-dfb5546cb3b0
Carroll College,http://history.archives.mbl.edu/concepts/institution/83dab4d2-49c7-43e4-9102-fe4d844db695
Uniformed Services University Of Health Sciences,http://history.archives.mbl.edu/concepts/institution/cf4379c4-1fcd-4d1e-bb85-248f1fe3c978
Normandale Community College,http://history.archives.mbl.edu/concepts/institution/319c1578-5d03-48ee-899d-1fe477bca46b
University Of Turku,http://history.archives.mbl.edu/concepts/institution/1c3e88f7-9cae-4d88-9cf4-4677ddba8af0
Nincds Nih,http://history.archives.mbl.edu/concepts/institution/efb941e3-7ace-42dd-8ffb-59da61a06c06
Wisconsin University,http://history.archives.mbl.edu/concepts/institution/09202db3-df49-4ca1-87e4-006754747a82
Instituto De Investigaciones En Ingenieria Genetics Y Biologia Molecular,http://history.archives.mbl.edu/concepts/institution/409075c8-b24d-49e7-8e28-f0f572a39330
Peabody Museum,http://history.archives.mbl.edu/concepts/institution/da456b51-7581-4409-8672-6f4a7ea102ae
Soldan High School,http://history.archives.mbl.edu/concepts/institution/21800372-a0ac-45aa-9f7d-80a0f0862e06
Albert Einstein Medical School,http://history.archives.mbl.edu/concepts/institution/7819df49-bf76-4826-a2dd-2be3b2b32b52
Department Of Botany University Of Bristol,http://history.archives.mbl.edu/concepts/institution/6ab14e9a-3001-4796-92eb-3715d09a0141
Milton S Hershey Medical Center,http://history.archives.mbl.edu/concepts/institution/2a5d1b1d-3af4-4bf6-a9dc-e4fdb2c19c45
Saint Vincents Hospital,http://history.archives.mbl.edu/concepts/institution/5ed8bdfd-c827-4600-8ee4-42f63aa79264
U S Department Of Agriculture,http://history.archives.mbl.edu/concepts/institution/fd032146-d7b8-40e3-a208-2031f672fc7e
Catholic University Of Chile,http://history.archives.mbl.edu/concepts/institution/899d7ca0-b9f9-48ec-8922-5d2b42a7a79b
Montclaire State University,http://history.archives.mbl.edu/concepts/institution/f6bf912b-f471-48d0-be80-9347dabba729
College Of Agriculture Wes Virginia University,http://history.archives.mbl.edu/concepts/institution/26c95bff-8f1e-4951-b4a1-10c0a2bf58b6
Cedars Sinai Medical Center,http://history.archives.mbl.edu/concepts/institution/55be6b19-04ef-4dd7-9194-9ede393d6169
National Research Council,http://history.archives.mbl.edu/concepts/institution/23568868-ca18-413d-839e-33dead45798f
Rhone Poulene Rorer,http://history.archives.mbl.edu/concepts/institution/11100db1-5d7f-479d-bca6-01e506915bf5
Delft University Of Technology,http://history.archives.mbl.edu/concepts/institution/b59782a3-8178-4c9e-862f-f6812db400ff
Max Planck Institute For Biochemistry,http://history.archives.mbl.edu/concepts/institution/f041caf5-b9ad-43c2-aab8-a95e457c74b8
