Location,Location URI
"bellingham, wa",http://history.archives.mbl.edu/concepts/location/42ff9498-b283-48d9-9488-b0d0ad1dac18
the institute for cancer research,http://history.archives.mbl.edu/concepts/location/0589aadb-18d0-4bd0-b1c4-b2540eae2bfd
"norwich, ct",http://history.archives.mbl.edu/concepts/location/5a2b50aa-be18-4b66-a85a-2b18355998ff
"la grange, il",http://history.archives.mbl.edu/concepts/location/8456fbbe-9d59-446e-9ada-9593a5fabc8d
"new york, ny",http://history.archives.mbl.edu/concepts/location/b3e92603-f16b-42ad-a86b-74b7c5348bdd
"414 n. normal park way, chicago, il",http://history.archives.mbl.edu/concepts/location/fe682628-7635-483a-b4bb-1b590dfccaad
"1258 east 102 st., cleveland, oh",http://history.archives.mbl.edu/concepts/location/e73bc935-a404-4827-bdb0-60fad40e38eb
"armagh, northern ireland",http://history.archives.mbl.edu/concepts/location/1152adf7-6ac5-4983-8bbf-a2744a8574c3
"mineola, ny",http://history.archives.mbl.edu/concepts/location/72abb658-27c8-466e-8d65-0cc140f6bd24
"lincoln, neb",http://history.archives.mbl.edu/concepts/location/2984d986-f46d-4811-a3b5-22ac8058120f
