Year,Course URI,Course Group URI,Course Group,Course Name
1931,http://history.archives.mbl.edu/concepts/course/ef3cc538-1506-46ca-b0c8-57c88fea30a8,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1931
1931,http://history.archives.mbl.edu/concepts/course/d3bb1628-1907-4182-9bfc-ca2838c91b88,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1931
1931,http://history.archives.mbl.edu/concepts/course/578181b6-42f2-4f07-9a75-ed6cb33aaa01,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1931
1932,http://history.archives.mbl.edu/concepts/course/c2584798-a292-4cab-95e2-363f0fa5e848,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1932
1932,http://history.archives.mbl.edu/concepts/course/a8349029-2ea4-4c13-8971-38e32ee102b1,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1932
1932,http://history.archives.mbl.edu/concepts/course/986b521d-59cd-4063-b588-de9fd1f07d74,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1932
1932,http://history.archives.mbl.edu/concepts/course/5b75a9d2-b7cf-4b6f-ab9a-4fc4878158b3,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1932
1932,http://history.archives.mbl.edu/concepts/course/6078973f-165a-489e-acbb-7d0f3dc592d6,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1932
1933,http://history.archives.mbl.edu/concepts/course/e82fde59-9a34-4f34-b134-694f2e99be23,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1933
1933,http://history.archives.mbl.edu/concepts/course/6591fbd9-990c-4c7c-b680-b63de91d7a4b,http://history.archives.mbl.edu/concepts/coursegroup/540947d3-ba85-4819-a6f0-0c0f9c561cdc,Embryology,Embryology 1933
1933,http://history.archives.mbl.edu/concepts/course/584e8fb0-caa9-414e-bd32-0edccd00d27d,http://history.archives.mbl.edu/concepts/coursegroup/c0016fb3-4ba9-4a60-a5e8-8d6f41621524,Physiology,Physiology 1933
1933,http://history.archives.mbl.edu/concepts/course/46d16b02-454d-4b69-bf3d-efeec750e69e,http://history.archives.mbl.edu/concepts/coursegroup/cafa904e-5d27-439b-90da-ed3eccec942b,Protozoology,Protozoology 1933
1933,http://history.archives.mbl.edu/concepts/course/a1635298-b4bb-4661-9c3c-a90c58fbb04e,http://history.archives.mbl.edu/concepts/coursegroup/3d4ad6e7-d091-4b59-b7d8-5fd3f6d72980,Zoology,Zoology 1933
1934,http://history.archives.mbl.edu/concepts/course/de35e4a6-a544-485d-9826-7930b87a4a3e,http://history.archives.mbl.edu/concepts/coursegroup/541c411e-6767-4de7-91f3-1ea5f66e4fc4,Botany,Botany 1934
